City,nuts_code
Graz,AT221
Guntramsdorf,AT127
Innsbruck,AT332
Hallstatt,AT312
Kapfenberg,AT224
Klagenfurt,AT211
Kufstein,AT335
Region Millstättersee,AT212
Ried im Innkreis,AT311
Salzburg,AT323
Steyr,AT314
Wasserverband Hofsteig,AT342
Wien,AT130
Wiener Neustadt,AT122
Wildon,AT225
Antwerp Zuid,BE211
Arlon,BE341
Bruges,BE251
Brussels,BE100
Charleroi-Est,BE322
Ghent,BE234
Harelbeke,BE254
Hasselt,BE221
Leuven,BE242
Liège-Oupeye,BE332
Marche-En-Famenne,BE343
Mechelen-N,BE212
Mons,BE323
Namur,BE352
Wavre,BE310
Altenrhein,CH054
Basel,CH033
Chur,CH056
Berne,CH021
Lugano,CH052
Luzern,CH023
Neuchatel,CH022
Zurich,CH040
Brno,CZ064
Ceske Budejovice,CZ031
Karlovy Vary,CZ041
Plzen,CZ032
Prague (2),CZ010
Usti nad Labem,CZ042
Berlin (IV),DE300
Chemnitz,DE144
Dresden,DE142
Erfurt,DEG01
Frankfurt (3),DE712
Hamburg (2),DE600
Hannover (2),DE929
Magdeburg,DEE03
Mainz,DEB35
Munich G,DE212
Nuremberg,DE254
Rostock,DE803
Stuttgart,DE111
Aalborg,DK014
Aarhus,DK042
Copenhagen,DK011
Odense,DK031
Naestved,DK022
Barcelona,ES511
Castellon,ES522
Granada,ES614
Lleida,ES513
Santiago,ES114
Helsinki,FI1B1
Tampere,FI197
Turku,FI1C1
Paris Seine Centre,FR101
Middlesbrough,UKC12
Athens,EL303
Split,HR035
Zagreb,HR050
Budapest,HU110
Debrecen,HU321
Dublin,IE061
Reykjavik,IS001
Bozen,ITH10
Milan,ITC4C
Kaunas,LT022
Klaipeda,LT023
Vilnius,LT011
Luxembourg,LU000
Riga,LV006
Amsterdam,NL321
Eindhoven,NL414
Utrecht,NL310
Rotterdam (2),NL33C
Bergen (2),NO051
Oslo (2),NO011
Trondheim (2),NO060
Krakow P,PL213
Lisbon,PT170
Porto,PT11A
Stockholm (2),SE110
Ljubljana,SI041
Kranj,SI042
Maribor,SI032
Nova Gorica,SI043
Novo mesto,SI037
Velenje,SI034
Bratislava C,SK010
Piestany,SK021
Ankara,TR510
Istanbul (II-VII),TR100
Geneva,CH013
Nicosia (2),CY000
Gavle,SE311
Gothenburg,SE232
Vaxjo,SE212
Valencia (2),ES523
Purgstall,AT121
Ostrava,CZ080
Dortmund,DEA52
Saarbrucken (2),DEC01
Tarragona,ES514
Pori,FI196
Hameenlinna,FI1C2
Joensuu,FI1D3
Jyvaskyla,FI193
Kajaani,FI1D8
Kemi,FI1D6
Kokkola,FI1D5
Kouvola,FI1C4
Kuopio,FI1D2
Lahti,FI1C3
Lappeenranta,FI1C5
Mariehamn,FI200
Mikkeli,FI1D1
Oulu,FI1D9
Rovaniemi,FI1D7
Vaasa,FI195
Bologna,ITH55
Rome,ITI43
Groningen,NL113
Zwolle,NL213
Bucharest,RO321
Karlstad,SE313
Koper,SI044
Tallinn,EE001
Tartu,EE008
Leeuwarden,NL122
Uppsala,SE121
Klosterneuburg,AT126
Dulmen,DEA35
Narva,EE007
Adana,TR621
St. Gallen Hofen,CH055
Eleusis,EL305
Novi Sad,RS123
Oostende,BE255
Madrid VdlV,ES300
Bordeaux I,FRI12
Paris South Suburbs,FR10
Merchtem,BE241
Fort-de-France P,FRY20
Molina de Segura,ES620
Ninove,BE236
Lausanne,CH011
Mytilene,EL411
Malta,MT00
Thessaloniki,EL522
Belgrade,RS110
Umea,SE331
Cluj Napoca,RO114
