,city_name,ref_year,metabolite_name,daily_mean_concentration
798,Graz,2024,MDMA,15.53
800,Innsbruck,2024,MDMA,22.71
801,Kapfenberg,2024,MDMA,7.79
802,Klagenfurt,2024,MDMA,9.5
804,Kufstein,2024,MDMA,8.8
805,Purgstall,2024,MDMA,23.64
806,Region Millstättersee,2024,MDMA,5.89
807,Ried im Innkreis,2024,MDMA,6.3
808,Salzburg,2024,MDMA,8.85
809,Steyr,2024,MDMA,12.16
811,Wasserverband Hofsteig,2024,MDMA,9.59
812,Wien,2024,MDMA,21.05
813,Wiener Neustadt,2024,MDMA,11.86
814,Wildon,2024,MDMA,6.02
815,Antwerp Zuid,2024,MDMA,140.31
816,Brussels,2024,MDMA,76.97
817,Basel,2024,MDMA,14.81
818,Berne,2024,MDMA,25.98
819,Geneva,2024,MDMA,38.59
820,Zurich,2024,MDMA,46.76
824,Nicosia (2),2024,MDMA,1.62
826,Brno,2024,MDMA,16.12
828,Karlovy Vary,2024,MDMA,14.32
829,Ostrava,2024,MDMA,26.41
830,Plzen,2024,MDMA,23.2
831,Prague (2),2024,MDMA,54.74
833,Chemnitz,2024,MDMA,11.71
834,Dortmund,2024,MDMA,37.07
835,Dresden,2024,MDMA,17.11
836,Erfurt,2024,MDMA,28.6
837,Hannover (2),2024,MDMA,26.07
838,Magdeburg,2024,MDMA,21.33
839,Munich G,2024,MDMA,39.37
840,Nuremberg,2024,MDMA,15.44
842,Stuttgart,2024,MDMA,22.84
843,Aalborg,2024,MDMA,18.38
844,Aarhus,2024,MDMA,12.33
845,Copenhagen,2024,MDMA,37.0
848,Odense,2024,MDMA,10.03
849,Barcelona,2024,MDMA,47.17
850,Castellon,2024,MDMA,51.94
851,Granada,2024,MDMA,34.34
852,Lleida,2024,MDMA,42.47
853,Santiago,2024,MDMA,16.84
854,Tarragona,2024,MDMA,32.14
856,Helsinki,2024,MDMA,35.19
859,Joensuu,2024,MDMA,29.42
861,Kajaani,2024,MDMA,6.03
862,Kemi,2024,MDMA,10.3
863,Kokkola,2024,MDMA,8.86
865,Kouvola,2024,MDMA,10.83
866,Kuopio,2024,MDMA,15.71
867,Lahti,2024,MDMA,16.1
868,Lappeenranta,2024,MDMA,12.06
869,Mariehamn,2024,MDMA,5.52
870,Mikkeli,2024,MDMA,5.38
871,Oulu,2024,MDMA,25.74
