,nuts_code,ref_year,gdp,currency
0,BE100,2011,70768130000,EUR
1,BE211,2011,42658520000,EUR
2,BE212,2011,11933100000,EUR
10,BE234,2011,21608600000,EUR
12,BE236,2011,7535990000,EUR
13,BE241,2011,24902190000,EUR
14,BE242,2011,15263530000,EUR
15,BE251,2011,9991840000,EUR
18,BE254,2011,10126010000,EUR
19,BE255,2011,3807400000,EUR
23,BE310,2011,14302670000,EUR
24,BE323,2011,5433320000,EUR
32,BE332,2011,16854400000,EUR
36,BE341,2011,1359810000,EUR
38,BE343,2011,1341950000,EUR
42,BE352,2011,8389700000,EUR
73,CZ010,2011,42999470000,EUR
75,CZ031,2011,8264570000,EUR
76,CZ032,2011,8270470000,EUR
77,CZ041,2011,3327370000,EUR
78,CZ042,2011,9886730000,EUR
83,CZ064,2011,17499650000,EUR
86,CZ080,2011,16258180000,EUR
87,DK011,2011,43790060000,EUR
90,DK014,2011,1283810000,EUR
92,DK022,2011,17325420000,EUR
93,DK031,2011,16882380000,EUR
96,DK042,2011,32831770000,EUR
99,DE111,2011,44365800000,EUR
135,DE142,2011,6020190000,EUR
137,DE144,2011,8338110000,EUR
144,DE212,2011,89505400000,EUR
204,DE254,2011,24580380000,EUR
239,DE300,2011,110612420000,EUR
260,DE600,2011,98802300000,EUR
262,DE712,2011,61999910000,EUR
287,DE803,2011,5734020000,EUR
311,DE929,2011,42817190000,EUR
370,DEA35,2011,5120560000,EUR
382,DEA52,2011,19179700000,EUR
413,DEB35,2011,10768530000,EUR
429,DEC01,2011,14149110000,EUR
450,DEE03,2011,7075110000,EUR
477,DEG01,2011,7248680000,EUR
499,EE001,2011,10288410000,EUR
501,EE008,2011,2828090000,EUR
509,IE061,2011,81798040000,EUR
514,EL303,2011,35201580000,EUR
516,EL305,2011,12176100000,EUR
519,EL411,2011,1485990000,EUR
534,EL522,2011,17904920000,EUR
567,ES114,2011,18292900000,EUR
578,ES300,2011,199623700000,EUR
595,ES511,2011,147153500000,EUR
597,ES513,2011,11908500000,EUR
598,ES514,2011,21264100000,EUR
600,ES522,2011,13533600000,EUR
601,ES523,2011,55056300000,EUR
608,ES614,2011,15053700000,EUR
613,ES620,2011,27698300000,EUR
624,FR101,2011,195501600000,EUR
676,FRI12,2011,46983500000,EUR
721,FRY20,2011,8299400000,EUR
738,HR035,2011,3751960000,EUR
741,HR050,2011,15649890000,EUR
770,ITC4C,2011,165591290000,EUR
810,ITH10,2011,21087480000,EUR
827,ITH55,2011,37797770000,EUR
851,ITI43,2011,162709970000,EUR
855,CY000,2011,19858080000,EUR
862,LT011,2011,11803680000,EUR
864,LT022,2011,6075840000,EUR
865,LT023,2011,3746900000,EUR
872,LU000,2011,44323470000,EUR
873,HU110,2011,38450040000,EUR
887,HU321,2011,4135040000,EUR
908,NL213,2011,19780520000,EUR
914,NL321,2011,9928680000,EUR
931,NL414,2011,31160030000,EUR
941,AT121,2011,6574580000,EUR
942,AT122,2011,6753280000,EUR
946,AT126,2011,8150240000,EUR
947,AT127,2011,13602080000,EUR
948,AT130,2011,79361410000,EUR
949,AT211,2011,10394590000,EUR
950,AT212,2011,3132200000,EUR
952,AT221,2011,17640110000,EUR
955,AT224,2011,6625160000,EUR
956,AT225,2011,4767420000,EUR
958,AT311,2011,8328930000,EUR
959,AT312,2011,26951300000,EUR
961,AT314,2011,5739560000,EUR
965,AT323,2011,16390380000,EUR
967,AT332,2011,11327390000,EUR
970,AT335,2011,8962790000,EUR
972,AT342,2011,10481120000,EUR
974,PL213,2011,11496330000,EUR
1050,PT11A,2011,27276690000,EUR
