"nuts_code","ref_year","gdp","city_name","metabolite_name","daily_mean_concentration"
"BE100",2011,70768130000,"Brussels","MDMA",7.45
"BE100",2011,70768130000,"Brussels","amphetamine",35.39
"BE100",2011,70768130000,"Brussels","cocaine",184.32
"BE100",2011,70768130000,"Brussels","methamphetamine",0
"BE211",2011,42658520000,"Antwerp Zuid","MDMA",52.14
"BE211",2011,42658520000,"Antwerp Zuid","amphetamine",277.18
"BE211",2011,42658520000,"Antwerp Zuid","cannabis",0
"BE211",2011,42658520000,"Antwerp Zuid","cocaine",721.18
"BE211",2011,42658520000,"Antwerp Zuid","methamphetamine",5.46
"ES114",2011,18292900000,"Santiago","MDMA",5.99
"ES114",2011,18292900000,"Santiago","amphetamine",33.84
"ES114",2011,18292900000,"Santiago","cannabis",78.79
"ES114",2011,18292900000,"Santiago","cocaine",211.22
"ES114",2011,18292900000,"Santiago","methamphetamine",0
"ES511",2011,147153500000,"Barcelona","MDMA",18.73
"ES511",2011,147153500000,"Barcelona","amphetamine",15.41
"ES511",2011,147153500000,"Barcelona","cannabis",108.63
"ES511",2011,147153500000,"Barcelona","cocaine",421.68
"ES511",2011,147153500000,"Barcelona","methamphetamine",8.43
"ES522",2011,13533600000,"Castellon","MDMA",0
"ES522",2011,13533600000,"Castellon","amphetamine",0
"ES522",2011,13533600000,"Castellon","cannabis",101.73
"ES522",2011,13533600000,"Castellon","cocaine",371.57
"ES522",2011,13533600000,"Castellon","methamphetamine",0
"FR101",2011,195501600000,"Paris Seine Centre","MDMA",14.94
"FR101",2011,195501600000,"Paris Seine Centre","amphetamine",0
"FR101",2011,195501600000,"Paris Seine Centre","cannabis",123.59
"FR101",2011,195501600000,"Paris Seine Centre","cocaine",206.3
"FR101",2011,195501600000,"Paris Seine Centre","methamphetamine",0
"HR050",2011,15649890000,"Zagreb","MDMA",3.26
"HR050",2011,15649890000,"Zagreb","amphetamine",14.6
"HR050",2011,15649890000,"Zagreb","cannabis",30.59
"HR050",2011,15649890000,"Zagreb","cocaine",49.95
"HR050",2011,15649890000,"Zagreb","methamphetamine",0
"ITC4C",2011,165591290000,"Milan","MDMA",7.58
"ITC4C",2011,165591290000,"Milan","amphetamine",11.05
"ITC4C",2011,165591290000,"Milan","cannabis",27.61
"ITC4C",2011,165591290000,"Milan","cocaine",238.85
"ITC4C",2011,165591290000,"Milan","methamphetamine",48.68
"NL321",2011,9928680000,"Amsterdam","MDMA",77.24
"NL321",2011,9928680000,"Amsterdam","amphetamine",123.57
"NL321",2011,9928680000,"Amsterdam","cannabis",191.77
"NL321",2011,9928680000,"Amsterdam","cocaine",644.1
"NL321",2011,9928680000,"Amsterdam","methamphetamine",0
"NL414",2011,31160030000,"Eindhoven","MDMA",66.68
"NL414",2011,31160030000,"Eindhoven","cannabis",102.77
"NL414",2011,31160030000,"Eindhoven","cocaine",437.42
"NL414",2011,31160030000,"Eindhoven","methamphetamine",0
"SE331",2011,9857530000,"Umea","MDMA",0
"SE331",2011,9857530000,"Umea","amphetamine",13.82
"SE331",2011,9857530000,"Umea","cannabis",0
"SE331",2011,9857530000,"Umea","cocaine",2.63
"SE331",2011,9857530000,"Umea","methamphetamine",2.93
"BE100",2012,73023930000,"Brussels","MDMA",12.98
"BE100",2012,73023930000,"Brussels","amphetamine",38.85
"BE100",2012,73023930000,"Brussels","cannabis",73.11
"BE100",2012,73023930000,"Brussels","cocaine",187.19
"BE100",2012,73023930000,"Brussels","methamphetamine",2.09
"BE211",2012,43673840000,"Antwerp Zuid","MDMA",65.84
"BE211",2012,43673840000,"Antwerp Zuid","amphetamine",159.47
"BE211",2012,43673840000,"Antwerp Zuid","cannabis",124.7
"BE211",2012,43673840000,"Antwerp Zuid","cocaine",742.05
"BE211",2012,43673840000,"Antwerp Zuid","methamphetamine",6.33
"CZ010",2012,42300900000,"Prague (2)","MDMA",9.54
"CZ010",2012,42300900000,"Prague (2)","amphetamine",32.41
"CZ010",2012,42300900000,"Prague (2)","cannabis",61.7
"CZ010",2012,42300900000,"Prague (2)","cocaine",48.34
"CZ010",2012,42300900000,"Prague (2)","methamphetamine",186.72
"ES114",2012,17667200000,"Santiago","MDMA",5.05
"ES114",2012,17667200000,"Santiago","amphetamine",0
"ES114",2012,17667200000,"Santiago","cannabis",116.95
"ES114",2012,17667200000,"Santiago","cocaine",239.97
"ES114",2012,17667200000,"Santiago","methamphetamine",0
"ES511",2012,142976200000,"Barcelona","MDMA",27.62
"ES511",2012,142976200000,"Barcelona","amphetamine",13.37
"ES511",2012,142976200000,"Barcelona","cannabis",78.52
"ES511",2012,142976200000,"Barcelona","cocaine",400.59
"ES511",2012,142976200000,"Barcelona","methamphetamine",26.55
"ES522",2012,12669200000,"Castellon","MDMA",0
"ES522",2012,12669200000,"Castellon","amphetamine",0
"ES522",2012,12669200000,"Castellon","cannabis",117.35
"ES522",2012,12669200000,"Castellon","cocaine",262.96
"ES522",2012,12669200000,"Castellon","methamphetamine",0
"FR101",2012,199613300000,"Paris Seine Centre","amphetamine",0
"FR101",2012,199613300000,"Paris Seine Centre","cannabis",117.46
"FR101",2012,199613300000,"Paris Seine Centre","cocaine",215.42
"FR101",2012,199613300000,"Paris Seine Centre","methamphetamine",0
"HR050",2012,15321180000,"Zagreb","MDMA",7.65
"HR050",2012,15321180000,"Zagreb","amphetamine",12.13
"HR050",2012,15321180000,"Zagreb","cannabis",44.71
"HR050",2012,15321180000,"Zagreb","cocaine",69.8
"HR050",2012,15321180000,"Zagreb","methamphetamine",0
"ITC4C",2012,162599770000,"Milan","MDMA",8.74
"ITC4C",2012,162599770000,"Milan","amphetamine",0
"ITC4C",2012,162599770000,"Milan","cannabis",24.25
"ITC4C",2012,162599770000,"Milan","cocaine",241.75
"ITC4C",2012,162599770000,"Milan","methamphetamine",10.11
"NL321",2012,10016950000,"Amsterdam","MDMA",99.84
"NL321",2012,10016950000,"Amsterdam","amphetamine",27.59
"NL321",2012,10016950000,"Amsterdam","cannabis",178.95
"NL321",2012,10016950000,"Amsterdam","cocaine",650.49
"NL321",2012,10016950000,"Amsterdam","methamphetamine",6.41
"NL414",2012,31061860000,"Eindhoven","amphetamine",416.75
"NL414",2012,31061860000,"Eindhoven","cannabis",84.42
"NL414",2012,31061860000,"Eindhoven","cocaine",349.83
"NL414",2012,31061860000,"Eindhoven","methamphetamine",0
"FI1B1",2012,75617710000,"Helsinki","MDMA",14.57
"FI1B1",2012,75617710000,"Helsinki","amphetamine",43.73
"FI1B1",2012,75617710000,"Helsinki","cocaine",9.27
"FI1C1",2012,15850520000,"Turku","MDMA",0
"FI1C1",2012,15850520000,"Turku","amphetamine",43.61
"FI1C1",2012,15850520000,"Turku","cocaine",0
"SE232",2012,7.043e+10,"Gothenburg","MDMA",0
"SE232",2012,7.043e+10,"Gothenburg","amphetamine",87.14
"SE232",2012,7.043e+10,"Gothenburg","cannabis",0
"SE232",2012,7.043e+10,"Gothenburg","cocaine",25.3
"SE232",2012,7.043e+10,"Gothenburg","methamphetamine",50.04
"SE331",2012,10394180000,"Umea","MDMA",0
"SE331",2012,10394180000,"Umea","amphetamine",0
"SE331",2012,10394180000,"Umea","cannabis",0
"SE331",2012,10394180000,"Umea","cocaine",0
"SE331",2012,10394180000,"Umea","methamphetamine",0.94
"CH013",2012,41694310000,"Geneva","MDMA",10.15
"CH013",2012,41694310000,"Geneva","amphetamine",38.96
"CH013",2012,41694310000,"Geneva","cocaine",341.15
"CH013",2012,41694310000,"Geneva","methamphetamine",0
"CH021",2012,64261150000,"Berne","MDMA",19.22
"CH021",2012,64261150000,"Berne","amphetamine",33.05
"CH021",2012,64261150000,"Berne","cocaine",265.5
"CH021",2012,64261150000,"Berne","methamphetamine",19.55
"CH033",2012,33910390000,"Basel","MDMA",14.61
"CH033",2012,33910390000,"Basel","amphetamine",0
"CH033",2012,33910390000,"Basel","cocaine",281.22
"CH033",2012,33910390000,"Basel","methamphetamine",0
"CH040",2012,117922740000,"Zurich","MDMA",38.75
"CH040",2012,117922740000,"Zurich","amphetamine",0
"CH040",2012,117922740000,"Zurich","cocaine",436.86
"CH040",2012,117922740000,"Zurich","methamphetamine",0
"BE100",2013,73315820000,"Brussels","MDMA",15.27
"BE100",2013,73315820000,"Brussels","amphetamine",24.8
"BE100",2013,73315820000,"Brussels","cannabis",89.47
"BE100",2013,73315820000,"Brussels","cocaine",223.81
"BE100",2013,73315820000,"Brussels","methamphetamine",1.71
"BE211",2013,44111220000,"Antwerp Zuid","MDMA",72.59
"BE211",2013,44111220000,"Antwerp Zuid","amphetamine",185.11
"BE211",2013,44111220000,"Antwerp Zuid","cannabis",129.62
"BE211",2013,44111220000,"Antwerp Zuid","cocaine",836.79
"BE211",2013,44111220000,"Antwerp Zuid","methamphetamine",5.76
"BE236",2013,7557800000,"Ninove","MDMA",10.96
"BE236",2013,7557800000,"Ninove","amphetamine",111.94
"BE236",2013,7557800000,"Ninove","cannabis",39.95
"BE236",2013,7557800000,"Ninove","cocaine",106.2
"BE236",2013,7557800000,"Ninove","methamphetamine",0
