city_name,ref_year,metabolite_name,daily_mean_concentration,nuts_code,gdp
Stockholm (2),2021,MDMA,33.49,SE110,169083370000.0
St. Gallen Hofen,2020,amphetamine,76.0,CH055,36767900000.0
Ostrava,2024,ketamine,1.55,CZ080,27398340000.0
Basel,2013,MDMA,23.09,CH033,33984430000.0
Basel,2018,cocaine,585.35,CH033,38622160000.0
Lappeenranta,2020,MDMA,15.07,FI1C5,4759790000.0
Wiener Neustadt,2023,amphetamine,26.65,AT122,10049810000.0
Piestany,2024,MDMA,8.58,SK021,14997090000.0
Geneva,2017,cocaine,794.84,CH013,47070740000.0
Paris Seine Centre,2019,cocaine,273.54,FR101,236143100000.0
Stockholm (2),2024,ketamine,14.96,SE110,179239890000.0
Athens,2014,MDMA,4.4,EL303,30008060000.0
Dortmund,2022,amphetamine,191.79,DEA52,27737670000.0
Lausanne,2015,MDMA,42.88,CH011,51237850000.0
Eleusis,2019,MDMA,0.83,EL305,10542060000.0
Koper,2020,MDMA,3.79,SI044,2417460000.0
Bratislava C,2018,cocaine,107.08,SK010,26068860000.0
Ostrava,2022,cocaine,71.68,CZ080,24777100000.0
Castellon,2023,MDMA,8.13,ES522,17662000000.0
Kajaani,2022,MDMA,0.96,FI1D8,2987550000.0
Brno,2023,ketamine,2.01,CZ064,34959370000.0
Stuttgart,2017,methamphetamine,5.86,DE111,53586810000.0
Istanbul (II-VII),2021,amphetamine,12.21,TR100,208912620000.0
Aalborg,2024,methamphetamine,4.26,DK014,1684400000.0
Klagenfurt,2023,MDMA,7.09,AT211,16746340000.0
Dresden,2013,cannabis,29.93,DE142,6559420000.0
Basel,2017,cocaine,562.86,CH033,39114830000.0
Mariehamn,2020,amphetamine,18.4,FI200,1186240000.0
Amsterdam,2020,MDMA,137.89,NL321,12017310000.0
Amsterdam,2021,methamphetamine,38.18,NL321,13134580000.0
Brussels,2016,MDMA,34.41,BE100,79185930000.0
Karlovy Vary,2020,cannabis,100.54,CZ041,3658020000.0
Munich G,2021,cocaine,236.17,DE212,133167260000.0
Rostock,2017,MDMA,19.54,DE803,7883190000.0
Santiago,2013,cocaine,130.21,ES114,17766700000.0
Basel,2015,cocaine,42.51,CH033,39609010000.0
Kapfenberg,2022,cannabis,21.4,AT224,9870930000.0
Erfurt,2020,methamphetamine,435.28,DEG01,9181970000.0
Porto,2024,methamphetamine,1.49,PT11A,46966660000.0
Karlovy Vary,2021,cocaine,63.99,CZ041,3945350000.0
Mariehamn,2022,cocaine,22.54,FI200,1484720000.0
Novo mesto,2020,cocaine,107.44,SI037,3251470000.0
Innsbruck,2019,MDMA,23.51,AT332,14927820000.0
Barcelona,2023,methamphetamine,59.9,ES511,209563800000.0
Barcelona,2023,amphetamine,36.63,ES511,209563800000.0
Maribor,2019,cocaine,237.5,SI032,6089020000.0
Tarragona,2023,cannabis,192.64,ES514,29471600000.0
Kranj,2022,cannabis,38.01,SI042,4978570000.0
Koper,2023,MDMA,7.07,SI044,3377760000.0
Porto,2023,cannabis,98.29,PT11A,43957080000.0
Santiago,2017,cocaine,342.68,ES114,20556300000.0
Nicosia (2),2024,amphetamine,5.77,CY000,34770170000.0
Wien,2022,cocaine,370.58,AT130,110821730000.0
Brussels,2022,MDMA,53.7,BE100,96651180000.0
Klosterneuburg,2015,amphetamine,0.0,AT126,8688180000.0
Bozen,2020,cannabis,33.86,ITH10,24348130000.0
Copenhagen,2022,ketamine,16.82,DK011,94306630000.0
Castellon,2012,MDMA,0.0,ES522,12669200000.0
Castellon,2011,MDMA,0.0,ES522,13533600000.0
Antwerp Zuid,2012,MDMA,65.84,BE211,43673840000.0
Magdeburg,2022,amphetamine,146.8,DEE03,9425930000.0
Zagreb,2011,cannabis,30.59,HR050,15649890000.0
Brno,2022,amphetamine,33.49,CZ064,31345910000.0
Graz,2022,MDMA,12.43,AT221,26289000000.0
Vilnius,2019,MDMA,39.67,LT011,20916900000.0
Antwerp Zuid,2017,cocaine,822.93,BE211,49784490000.0
Novi Sad,2013,cocaine,15.78,RS123,4480180000.0
Karlstad,2024,cannabis,36.84,SE313,10971020000.0
Koper,2024,amphetamine,13.68,SI044,3453460000.0
Ljubljana,2020,MDMA,102.52,SI041,18055110000.0
Barcelona,2013,cocaine,537.98,ES511,142239600000.0
Dublin,2024,cocaine,875.54,IE061,279799600000.0
Dresden,2020,amphetamine,28.32,DE142,8079780000.0
Helsinki,2021,MDMA,22.54,FI1B1,98460800000.0
Kajaani,2022,cocaine,0.6,FI1D8,2987550000.0
Turku,2020,methamphetamine,4.34,FI1C1,19095720000.0
Tallinn,2023,methamphetamine,1.63,EE001,24099040000.0
Ostrava,2024,MDMA,26.41,CZ080,27398340000.0
Kufstein,2020,methamphetamine,2.12,AT335,11840750000.0
Uppsala,2019,methamphetamine,1.93,SE121,16563910000.0
Karlovy Vary,2022,methamphetamine,459.42,CZ041,4605180000.0
Porto,2019,MDMA,21.38,PT11A,34579850000.0
Erfurt,2023,cocaine,120.04,DEG01,10859150000.0
Steyr,2022,cannabis,71.15,AT314,7535690000.0
Velenje,2019,cocaine,156.62,SI034,5315070000.0
Vilnius,2017,cocaine,34.7,LT011,17181040000.0
Milan,2014,cocaine,208.05,ITC4C,163894200000.0
Zagreb,2012,cannabis,44.71,HR050,15321180000.0
Istanbul (II-VII),2020,MDMA,26.33,TR100,187221140000.0
Amsterdam,2013,MDMA,89.25,NL321,10153920000.0
Vilnius,2022,cocaine,123.73,LT011,29383300000.0
Prague (2),2024,cannabis,80.35,CZ010,86596180000.0
Stockholm (2),2024,amphetamine,362.4,SE110,179239890000.0
Pori,2024,amphetamine,61.32,FI196,9763240000.0
Wien,2023,cannabis,80.09,AT130,119962600000.0
Kapfenberg,2023,amphetamine,33.43,AT224,10433510000.0
Kaunas,2019,MDMA,31.79,LT022,10063050000.0
Ljubljana,2021,MDMA,7.49,SI041,20407150000.0
Copenhagen,2013,amphetamine,30.64,DK011,46666520000.0
Cluj Napoca,2013,amphetamine,0.0,RO114,2273570000.0
Uppsala,2023,amphetamine,173.57,SE121,19527820000.0
Bratislava C,2019,cocaine,69.94,SK010,26785170000.0
Wasserverband Hofsteig,2021,cocaine,351.72,AT342,16261050000.0
Milan,2020,cannabis,47.64,ITC4C,176237530000.0
Santiago,2020,cocaine,610.78,ES114,20140300000.0
Dresden,2019,amphetamine,35.44,DE142,8200470000.0
Dresden,2023,cocaine,85.33,DE142,9995460000.0
