city,year,metabolite_name,daily_mean_concentration
Aalborg,2024,mdma,18.38
Aalborg,2024,amphetamine,112.76
Aalborg,2024,cannabis,90.62
Aalborg,2024,cocaine,488.12
Aalborg,2024,methamphetamine,4.26
Aalborg,2024,ketamine,30.39
Aarhus,2023,mdma,17.7
Aarhus,2023,amphetamine,83.32
Aarhus,2023,methamphetamine,1.81
Aarhus,2023,ketamine,4.92
Aarhus,2024,mdma,12.33
Aarhus,2024,amphetamine,74.1
Aarhus,2024,cannabis,65.53
Aarhus,2024,cocaine,287.21
Aarhus,2024,methamphetamine,6.72
Aarhus,2024,ketamine,3.4
Adana,2019,mdma,14.51
Adana,2019,amphetamine,0.54
Adana,2019,cannabis,15.9
Adana,2019,cocaine,3.11
Adana,2020,mdma,30.93
Adana,2020,cannabis,15.89
Adana,2020,cocaine,4.89
Adana,2021,mdma,13.68
Adana,2021,amphetamine,2.64
Adana,2021,cannabis,37.11
Adana,2021,cocaine,5.71
Adana,2021,methamphetamine,18.67
Adana,2022,mdma,8.48
Adana,2022,cocaine,9.09
Adana,2022,methamphetamine,46.21
Amsterdam,2011,mdma,77.24
Amsterdam,2011,amphetamine,123.57
Amsterdam,2011,cannabis,191.77
Amsterdam,2011,cocaine,644.1
Amsterdam,2011,methamphetamine,0
Amsterdam,2012,mdma,99.84
Amsterdam,2012,amphetamine,27.59
Amsterdam,2012,cannabis,178.95
Amsterdam,2012,cocaine,650.49
Amsterdam,2012,methamphetamine,6.41
Amsterdam,2013,mdma,89.25
Amsterdam,2013,amphetamine,70.81
Amsterdam,2013,cocaine,393
Amsterdam,2013,methamphetamine,5.24
Amsterdam,2014,mdma,150.51
Amsterdam,2014,amphetamine,89.94
Amsterdam,2014,cocaine,716.38
Amsterdam,2014,methamphetamine,2.96
Amsterdam,2015,mdma,166.16
Amsterdam,2015,amphetamine,59.06
Amsterdam,2015,cocaine,641.72
Amsterdam,2015,methamphetamine,6.96
Amsterdam,2017,mdma,230.29
Amsterdam,2017,amphetamine,123.29
Amsterdam,2017,cocaine,734.04
Amsterdam,2017,methamphetamine,14.01
Amsterdam,2018,mdma,182.97
Amsterdam,2018,amphetamine,154.26
Amsterdam,2018,cannabis,264.22
Amsterdam,2018,cocaine,932.36
Amsterdam,2018,methamphetamine,28.58
Amsterdam,2019,mdma,287.44
Amsterdam,2019,amphetamine,164.43
Amsterdam,2019,cannabis,260.78
Amsterdam,2019,cocaine,986.15
Amsterdam,2019,methamphetamine,31.49
Amsterdam,2020,mdma,137.89
