,Year,Metabolite,Site ID,Country_x,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean,nuts_code,GEO (Codes),GEO (Labels),GDP (M EUR),Country_y
0,2024,MDMA,BE002,BE,Antwerp Zuid,90.09,209.46,243.58,147.81,74.71,137.62,78.93,126.16,150.93,140.31,BE211,BE211,Arr. Antwerpen,67609.83,BE
1,2024,MDMA,BE007,BE,Brussels,31.65,30.23,30.84,110.28,172.71,105.99,57.07,39.65,104.95,76.97,BE100,BE100,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,108152.97,BE
2,2024,MDMA,CY005,CY,Nicosia (2),1.15,1.13,0.86,2.04,2.44,2.22,1.51,1.26,1.89,1.62,CY000,CY000,Kýpros,34770.17,CY
3,2024,MDMA,CZ001,CZ,Brno,10.15,8.7,7.95,13.66,29.22,28.95,14.2,11.02,19.94,16.12,CZ064,CZ064,Jihomoravský kraj,34861.31,CZ
4,2024,MDMA,CZ003,CZ,Karlovy Vary,12.75,10.54,11.66,26.94,18.54,10.31,9.47,10.92,16.86,14.32,CZ041,CZ041,Karlovarský kraj,5381.52,CZ
5,2024,MDMA,CZ004,CZ,Ostrava,16.08,16.77,14.72,52.28,42.22,24.84,17.96,16.93,33.51,26.41,CZ080,CZ080,Moravskoslezský kraj,27398.34,CZ
6,2024,MDMA,CZ005,CZ,Plzen,14.83,15.91,12.24,36.59,46.96,23.16,12.69,14.48,29.74,23.2,CZ032,CZ032,Plzeňský kraj,15512.85,CZ
7,2024,MDMA,CZ006,CZ,Prague (2),25.28,26.72,40.81,121.59,89.47,46.34,32.99,28.33,74.55,54.74,CZ010,CZ010,Hlavní město Praha,86596.18,CZ
8,2024,MDMA,DK001,DK,Aalborg,12.48,9.82,15.0,16.15,21.03,37.78,16.43,12.91,22.49,18.38,DK014,DK014,Bornholm,1684.4,DK
9,2024,MDMA,DK002,DK,Aarhus,6.35,4.95,1.95,30.14,27.36,11.18,4.38,5.23,17.66,12.33,DK042,DK042,Østjylland,51837.47,DK
10,2024,MDMA,DK003,DK,Copenhagen,18.52,28.16,22.74,64.23,65.1,36.35,23.9,23.53,47.11,37.0,DK011,DK011,Byen København,76296.4,DK
11,2024,MDMA,DK006,DK,Odense,5.81,6.54,10.63,12.45,17.55,10.27,6.93,6.43,12.72,10.03,DK031,DK031,Fyn,23636.72,DK
12,2024,MDMA,FI002,FI,Helsinki,21.96,21.22,22.67,48.83,59.31,47.48,24.87,22.69,44.57,35.19,FI1B1,FI1B1,Helsinki-Uusimaa,108495.71,FI
13,2024,MDMA,FI007,FI,Kajaani,2.89,14.13,2.97,8.57,5.78,4.91,2.93,6.65,5.56,6.03,FI1D8,FI1D8,Kainuu,2742.53,FI
